text,label
all right laugh,general
d well let s hope not,request
d tungsten tungsten advantageously yeah,general
it does improve the reception a little bit though,statement
yeah baby talking,general
c and everywhere you d miss there d be this little bright spot you could see laughter,statement
how long did it take,question
maybe this follow a fantasy we can to talk most any kind of car,request
cholecalciferol considerably i have enjoyed talking to you,general
aren t they more of a running gun team,question
does does your dad have horses there,question
d well i am glad you have broken the ice with me because now i will i will start doing it laughter,general
i know where fifty six hundred south is,general
hum uh huh,general
is mowing the lawn a new exercise laughter,question
produce the yellow ones,request
d well i ve enjoyed speaking with you,general
d well i can go ahead and pop and tell you mine,request
consume playfulness playing tennis,general
cholecalciferol wellspring i hope,general
c but i think that s a that s really a long term type thing,statement
i think it probably has been,general
i ll probably i ll probably move,statement
c and they don t want to think about it,statement
nice talking to you today,general
they re they re very they re very f uh not interested,statement
f oh cholecalciferol comfortably take care,general
d so f uh are you f uh are you f uh active in translation,question
d now you didn t hear me say that,request
c so what am i supposed to do laughter,question
c but when she does there a nurse is right there to help her,statement
c and f um c and another question to ask exist if they re f um state certified,request
i think we are getting,statement
c but e i mean we need control,statement
i went to an inner city high school in chicago,statement
i guess f uh a i don t know what part of new jersey you re in but i guess it s f uh fairly industrial,question
c and you precisely continue beating it in,request
c and then other groups come in and do the services d you know other sundays,statement
be sure to ticker it tomorrow nox,request
where equal you break,general
e i mean did she earn more money that he did,question
c and we walk a couple of miles and then come back to the house,statement
d like give me some instance,request
d so she enjoys staying at home,statement
f uh how do you mean that laughter,question
you know it s d like laughter why are we doing this,question
f um what kind of counseling do you do,question
i think they would probably have to pull into my drive before it bothered me laughter,statement
discover one laugh,request
d well okay f uh,general
did you take it to a dealership,question
d well i kind of f uh i watch the f uh national news every day for one,statement
you deprivation to jump,request
c because i think i think we re just getting taxed way too much,statement
so it must be for a different year,statement
oh uh huh,general
c and what type of recommendations did you have when you decided where to place him,question
c and f uh we re communications,statement
within reason d you know you can lose weight or maintain your weight,statement
i just came back from there,statement
because if you f uh use drop cloths to cover everything and you use masking tape to trim out f uh all the parts that you don t want to slop concluded onto you don t have to be quite as precise about how you do it,request
f uh what does what does that mean alternate,question
i don t think we ve gone our our ten min,general
f um what type of magazines do you have,question
fees that that fund these things i guess that s trickled down to the states,statement
right taping ends with no further conversation,general
c and so we could we could talk about fluorine uh that path d you know how important you think his benefits are and and and fluorine uh how important you think they are and if what would you like to see increased,request
is that why you picked the school you did,question
c and f uh yeah,general
f uh it runs from d like five o clock to seven thirty,statement
very dim f ohio sniffing all right sniffing,general
you buy it you buy it as amp seasoning,request
c so twin peaks f um what happened was i think twin peaks f um went went off they moved to a saturday night for a while and then put and then put something i guess gabriel s fire on it and at thursday nights,statement
inhaling when they were d like in junior high and high school,question
how long is it,question
that s coming up,general
if she acts like she wants to or says she wants to maybe you could throw her take some for a while and see how she likes it,request
walt disney world and other places it s just the wrong time of the year to go,statement
d well good to hear,general
how was your care at parkland,question
bye clicking static,general
f uh now did you hear about the the control that they have up in virginia,question
cytosine and you kind of clean it out,request
do you by any chance,question
indisputable go beforehand,request
calciferol intimately you shouldn t do that,request
e i mean here you have the right to vote,statement
f oh really fry static,general
stick along the subject,request
laughter oh,general
c and you,question
it it does the things i need for it to do,statement
c but i don t think there s an escape from light jackets,statement
the the there has to be some way to do it,statement
my son brought me a little lhasa apso f uh for my birthday last thanksgiving,statement
f oh nobelium,general
c and f uh i have other friends,statement
c and they keep letting out people that have d you know these horrible records,statement
what do you think that what do you think tell me what you think nearly this,request
television at least d you know everybody s,question
now you tooshie c either use d you know the kind that derive in the little tooshie,request
it s like this train,statement
d well you can you can tell me a footling bit more almost it because i don t think we did that in utah,request
just your child and or do they just put any child in any crib,question
i guess i ll go back to work,general
bye bye noise tv or radio,general
is that where you you are originally from around there,question
c and clicking can you hold on simply a second laughter,request
c so not only is it d you know,statement
i sure will,general
c so they should follow the same rule,statement
it s nice over there,general
laughter do youself have children wi who are or have been through the public school system,question
c or d you know e i mean,question
c and so we could we could talk about f uh that path d you know how important you think his benefits are and and and f uh how important you think they are and if what would you like to see increased,request
that s the n b a,question
was it civil or criminal,question
snow but fluorine uh snow so yeah,general
how d you get into it,question
around christmas time,question
fry talking uh huh,general
my problem i guess is time d you know,statement
you mean in the in the most recent conflict,question
c and it would water their lawn,statement
viosterol well if if you re interested you ought to go to the next auto show,request
i m doing fine,general
d well i i was going to ask too does your wife work,question
did you did you sue him under the civil system,question
c and we had no problem with it,statement
we we were we tried to move terminated to raleigh last year,general
is it a looter that got shot by a store owner,question
c and c and that s one of my favorite things to do is sit around and listen to their stories,statement
they don t have to be in a nursing home situation,statement
did you like them,question
d well how much are the box seats there,question
is there not,question
e i mean ha had he been around children,question
d see d now we ve run into a lot of problems where our relatives were,statement
fluorine ohio the potato,general
calciferol so tell maine about where you live,request
are you familiar with that,question
f uh throat clearing yeah,general
d well good,general
i should have i guess i should make another one that says religious or otherwise cause i still get,statement
f uh look at them,request
do you ever,question
c or is it,question
c and the other thing is that when it when it s the public transportation is established that early on then then the business f uh business and residential patterns develop to take advantage of that,statement
c and hence yeah,general
rent them citizenry go,request
been f uh good talking to you,general
d you know i m trying to make it with my job and make d you know myself okay and make my,statement
i guess it s an eighty nine or ninety f uh chrysler something or other,statement
where are you from in california,question
i had a part time job around f oh gosh fifteen years ago seventy six,statement
feel what we ve done here at t ane,request
merely angstrom minute,request
or is it european,question
do you have a chance to look through the wall street journal,question
excuse me noise muffled sound as if hand over the phone,request
d well if if you re worry you ought to go to the next auto show,request
you should represent heedful laughter,request
breathing i can t understand why nobody saw that before,question
let s sing about the middle east situation,request
c but look who she was running against d you know laugh,request
printer yeah,general
baby yeah,general
okay hum breathing,general
this is new orleans,question
fluorine oh that entropy not bad,general
c and then erstwhile you pick that spot out pick out what you want to cause,request
laughter d well what did you find was most helpful in planning the birthday get together,question
c because it s just kind of d like d you know tourists,statement
goodby racket,general
d well how old is your boys,question
d well you are going to have to find amp mother s day out and have him call in sick one day,request
c so f uh yea,general
good goodby sharon,general
do you enjoy it,question
c and sarasota is on the west coast,question
c but e i mean yeah laughter,general
d well where are you,question
f uh f oh,general
f uh car pollution seems to be the one and only thing that that i can really put my finger on here,statement
c and i suppose it does provide some gainful employment,statement
d well nice to spill to you,general
distinguish me your gens again,request
what randomness your list,general
coke and then you take it out of the fat,request
did you,question
do you have to pay for that too,question
hold travel,request
c or c or maybe simply exercise at home,request
what could they possibly be thinking,question
did i reach the dallas area,question
c so you work in back grind,question
c or were you a,question
that s probably what i ll try and look for whenever i do have laughter my children,statement
what s everybody drive up there,question
c and the idea do we go out and feed these people when they re hungry,question
c and correct,general
laughter d well we ve kind of exhausted everything i guess,general
c and what kinds of things do you use it for when you us when you go to their hous houses to them,question
ane ll let you go start,request
c and c and i don t give that out,statement
clanging uh huh,general
do you watch any of those,question
do you f uh,question
d well let s hope neither unmatched of us ever have to run into this subject we were discussing,general
f uh d so what do you do to exercise,question
f oh huh uh,general
did you do it with a jigsaw,question
d well it s been real nice talking with you,general
d advantageously maybe maybe your husband could tape it for you sometime,request
receive receive the boss complete,request
here hang on just a second,request
gloaming church virginia,general
throat clearing cholecalciferol well f uh yeah,general
i don t think it should just be used loosely,statement
d well wh do you think that f uh consumer goods goods are generally getting better or worse in quality,question
wh why do you use that,question
c and it was going to happen to you,statement
for myself e i mean i think that military experience noise was fine,statement
guess,request
i do some i m a graduate student in psych,statement
d good don t let it collect dust,request
oh very faint,general
go boy this this is kind of ugly laughter,statement
laughter cholecalciferol well i enjoy,general
if you don t like it shoot move along to something else,request
you go showtime,request
and one thing she s trying to instill in kids um besides just reading and writing are just some the golden rules,statement
you buy it you buy it as ampere temper,request
oahu naturally has got more people on it than the other islands,statement
c but f um there s no never anything good on saturdays though laughter,statement
lipsmack yes,general
d well do you keep up with the statistical stuff,question
yeah f uh,general
well bill it s personify nice talking to you,general
you look at frito ballad,request
are there cases where you think that that f uh the capital the capital punishment shouldn t be f uh f uh sentenced,question
f oh wasn t that nice of him,question
the d well as it is now the middle and upper classes are paying more than their share for the health care of the whole country because they re the only people that can afford health insurance whistling,statement
debates would come up up there in massachusetts and you know in that area over uh air pollution,statement
i got it so it wouldn t wouldn t shed,statement
c and i expected it to be a lot of trouble,statement
put it on the engage,request
i make that drive sometimes,statement
um yeah,general
d well it s been very nice talking with you,general
i see bird squawk,general
okay hua children baby vociferation,general
c and f uh seeing as you ve got,question
correct yea,general
does it does it on its little on its on the flower does it have a beard on it at all any kind of fuzzies,question
c or should we stay on the topic of books,question
what s your views on it,question
c so you re working on your doctorate,question
okay noise,general
f uh after all who who writes,question
v c r and everything else,statement
e one mean expression at d you know the leader they had,request
have you just started doing this,question
what do you do with all those,question
c or did it come out in the,question
you go right ahead because ane,request
c and it s funny you mention costa rica because they are just they are one of the most successful and peaceful countries,statement
c and they did,statement
yeah whispered breathing,general
no earthly idea,statement
start,request
breathing tv uh huh,general
i hope you have a near daytime,general
unspoiled self help,general
you ve been to the city,question
what do you think about the women that are not having families because they want to continue their business,question
are you a vietnam veteran dudley music,question
it s just just correctness of of pause social skills if you will,statement
i don t think they have any more money than any of the other countries,statement
dee are you familiar with the latin american policies,question
d well nice to talk to you,general
i was going to ask you could you go to d you know nice places,question
d well d you know there s a lot of things that have happened d actually,statement
c but some of the internal news and the news services,statement
good talking to you overly,general
c and i really just keep very good records,statement
you know have them a fine whatever,request
c because if the analysis is inaccurate or biased or whatever then d you know how good is it,question
all right you too,general
maybe i ll call you back after after the recording is finished,statement
c and the wind came in from the north,statement
mark that,request
use the greens if you get them when they re young and tender d you know before they have grown too,request
you get so attached to them,statement
okay breathing,general
d well let s hope neither one of us ever has to run into this theme we were discussing,general
f oh is he the reformed f um gambler,question
good luck,general
c and then drain off altogether the grease,request
really d you know,general
in what field,question
f um alright,general
it s sort of funny,general
c so c but d well it s been good talking to you,general
assign it to quietus d you know,request
who are you with,question
c and where are you from where are you calling from,question
e i average look at d you know the leader they had,request
c so don t say she s small,request
d well it s been nice talking to you,general
do you usually go out f uh with the children or without them,question
it was nice talking to you too beth,general
laughter what did you think about that idea,question
you have a good day,general
d well didn t kansas city put up quite a bit of money for their,question
have you ever seen murphy brown or anything like that,question
the same in some of the areas around here,statement
drop inwards at times that are unexpected,request
i would be bothered by that,statement
c and he told me i needed to pull every leaf off and then spray it with this chemical that he said i should purchase,statement
farad um farad uh d well give me your inaugural impressions,request
got to see pike s peak,request
send them over to irak laughter,request
how did you get rid of them,question
c and it appears as though that f uh f oh in the fifties or sixties when some of these houses were built f uh they used a lot of f uh semigloss type enamel for ceiling paints,statement
c and f uh i think either send them home or do something,statement
cling them,request
or vote,statement
c and you had to check off what all you would be willing to bring,statement
afternoon doug,general
c and that s usually works out to be pretty good,statement
c and i ve sworn up and down,statement
where do you buy your tole painting paints at around here,general
c and then they go on road trips,statement
it s a pleasure talking with you,general
i guess it s ge getting to be lunch time,general
hold along one second,request
make trusted it randomness nice and brown on both sides,request
accessories,general
c but what are you doing,question
what f uh what kind of,question
where are you calling from by the style tx,general
what about if if f um they demanded to have spanish as the official language as a condition for statehood,question
nice lecture to you also beth,general
calciferol you know try that former,request
c and c and what were we trying to do,question
good talking to you excessively,general
c so i hope you enjoy it as much as i have been enjoying it laughter,general
c and the sacrifice is not that great,statement
you all just had a tornado f uh over close to oklahoma and texas,question
it was good talking to you robert,general
d well hi,general
c but i don t think that they re going they re going to change that,statement
baby crying yeah,general
is that right,question
c and f uh what about you,question
uh huh rustling and clicking noises in background,general
print first,request
d well you are non missing excessively much then laughter,general
do you have a do you have any f uh major preferences as far as breathing television,question
yea d you know,general
c and f uh basically f uh i found a recipe to make it in the microwave,statement
yeah voices fade,general
i gathered you mightiness cost a teacher,general
d intimately guess what,request
e i mean did you find that people appreciated having the privilege of being,question
d you know re reduction in in medical costs if d you know they,statement
it doesn t matter who it is,statement
afternoon doug,general
fluorine um then then just laughter,request
iodin come up there iodin ll have to stop by and have sample some of your baking,request
publish start,request
does does it just want to sniff around,question
what s his first name,question
do you do that very often,question
i think it would probably be a dog baby talking,statement
maybe we ll aim across we ll cross course again,general
c but i think it s real vital important for the future d you know,statement
cholecalciferol no you tell me how you feel about,request
yes cough,general
c but f uh so the mi f uh the cauliflower you,request
c but f uh do you see any way of like altering it so that they would become more honest,question
c and in the rivers and stuff,question
belt line and what,question
that that s called it s the original p c,statement
let you start laughter,request
d well down in the cafeteria do they have any place where you can put your d you know pop cans and things like that,question
ok throat clearing,general
c but i it s it s i don t think it s any different of a problem than any other major city,statement
did you buy a program to handle menus,question
howdy nancy,general
what what type of history class is it that you re having to take,question
my name is lowell,general
if you have a gamble to rent it astatine least,request
and let all the convention people go,request
i i always said that if i had a kid they wouldn t know what mcdonald s is,statement
was there anything there to begin with,question
it s interesting to see the the wider world,general
do do they play d like f uh d like does the eight year old play baseball,question
f oh really,general
c but the guy at the very top the one who s who s really making the millions and the millions is the one who also many times is part of the power structure f uh the f uh and had the political,statement
c and they still buy aluminum can and likes that can cans likes like,statement
throw along put along throw,request
they have enough leisure time to afford a nice lawn,statement
maybe we ll get together again in the future,general
c and f uh keep your mind off of disconfirming affair,request
we d like pay her for six weeks at a time,statement
thank you for enter,general
f ohio uh huh laugh,general
he stays at school,question
d so frank what f uh type of f uh budget do you or your family have,question
beep howdy,general
d you know he doesn t have they don t have to rely on him to score ev d you know thirty or forty points at every,statement
are you a student,question
what part of the state do you live in,question
c but do you get to pay the bills,question
isn t tigon f uh part of g t e or vice versa or something like that,question
you know what i mean,question
c but d you know how can,question
salads go first and things like that,question
coke but adam ahead laughter,request
f oh all right laughter,general
c and they were saying how in some sense that that s good because that makes health care affordable for everyone and makes d you know lowers the cost of everything and all insurance,statement
d so what have you seen interesting on oprah winfrey lately,question
i we re we re new to iowa,statement
take it to adenine consistent extreme,request
i just make a point of seeing those,statement
d swell if you if you seat get green card go for it,request
that that sounds like a hell of an idea,statement
sniffing all decently,general
meow yeah,general
adenine hamster,general
you look at the merge province,request
they re just standing in line doing whatever they are supposed to,statement
you you call that routine,request
