text,intent
"[ I, + I ] think they're kind of nice to have,  /",statement
where do you go to school? /,question
"[ [ It's a, +  I, ] + I ] especially like it as an outlet when the T V goes off,  /",statement
"Keep on watching those movies, F huh?  /",request
-- beyond Thousand Oaks. /,statement
start prosecuting they  /,request
"(( Yeah,  /",general
what kind of hobbies do you have Lori? /,question
"C and,   F uh,  we have four  children  /",statement
"Yeah,  /",general
Uh-huh.  /,general
"F Oh,  it's not too good.  /",statement
"C So  it wasn't enough to total it,  /",statement
"[ In, +",statement
Yeah. /,general
What kind of car is it? /,question
E I mean  they're still not settled over there. /,statement
How do you like it?  /,question
"he couldn't walk,  /",statement
"[ I want to, + the next car I get I want it to ] be automatic. /",statement
C and then  you'll  have to give me a call on gardening <laughter>. /,request
"when the water is cold, they are very slow moving fish,  /",statement
go ahead. /,request
now it's up to you  /,request
-- starts out when they're small and  continues through generations -- /,statement
D Well  now wait a minute [ the- + there ] /,request
"<laughter> it amazed me when I got out here to the midwest and  found out that even though they're an hour earlier in time, they still watch the news when, -/",statement
Uh-huh. /,general
"Ha-, what kinds of things have you tried?  /",question
"F Oh,  okay. /",general
"[ [ you, + you,  ] + if you  ] like  sports go right ahead with this one. /",request
Have you done this very long?  /,question
"What, F uh,  go ahead and tell me about your home <laughter>. /",request
"D Well,  it might be a good time for you [ [ to be-, + to, ] + to start ] a tradition. /",request
"[ C so.  + C But,  ]  F uh,  D well  you ought to try that.  /",request
"Yeah,  /",general
Is Texas one of them? /,question
hold on. /,request
How does the word wrap work on that?  /,question
You always have to isolate those. /,statement
Uh-huh. /,general
C So  tell me your feelings on recycling.  /,request
"C So,  you don't have anything right now? /",question
"[ yo-, + you ] comment on it,  /",request
Yeah. /,general
Yeah. /,general
Uh-huh.  /,general
"let's do i-, /",request
"D Well,  they'd never picked it out, though? /",question
"C and  it was, F uh,  about the N E A  /",statement
"D Well,  I think, I don't know if we've  done five minutes  /",general
Tobogganing. /,request
"D Well,  how much do you earn on the cans,  /",question
Get the yellow ones. /,request
"[ don't, + don't ] be in any hurry. /",request
"C And,  <<pause>> D you know,  it's a shame  /",statement
Yeah.  /,general
"[ C and,  + C and  ] stress that to your children. /",request
C and  you just need to take the little one.,request
Stick on the subject. /,request
"D Well,  do you have anything else you want to say on this? /",question
Yeah. /,general
"C and  they are not allowed, - /",statement
bye bye.  /,general
Go ahead. /,request
"[ C and,  + C and,  ] F uh,  I don't know whether we really want to be  tied down to a [ pe-, + ] D you know,  another dog.  /",statement
"D So.    How long you been with them, since you moved down here? /",question
"<Laughter>  F Um,  yes  /",general
"I know that, D like,  [ [ the, + the, ] + the ] one plan that everyone seems to be in, in my place is, F uh,  D you know,  D [ you, + F uh,  think you ] call it  plan D <laughter>.  /",statement
Believe me. /,request
C and then  before  you know it you have drugs and a lot of other things  /,statement
How about yourself? /,question
D So  tell me about CHINA CRY. /,request
Uh-huh. /,general
Right. /,general
"C And  it's a shame too when you  do see somebody driving a big car, just one person in that.  /",statement
"And, what room? /",question
go ahead. /,request
C or  I don't remember it if I have. /,statement
"Uh-huh,  /",general
"D Well  D now,  that's possible. /",statement
"Yeah,  /",general
"Have you gone out to, F uh,  Fort Worth to see the [ space, + Soviet space ] exhibit? /",question
Bye-bye. /,general
How about you? /,question
"Jerry, what did you think of people like, F uh,  Jane Fonda, another [ war an-, + anti-war ] activist. /",question
D Well  let,request
Aikman did go to O U.  /,statement
What are they? /,question
"C and  there are some crimes that could be committed against her that are not even considered capital crimes, [ that, + that ] I would consider basis for murder. /",statement
Uh-huh.  /,general
"[ yo-, + you ] comment on it,  /",request
"Then you, F uh,  pour that in there, D you know,   to make the gravy.   /",request
Got to see Pike's Peak. /,request
"whatever subject you pick, do it the knowledgeable way -- /",request
C and  we're kind of off on the  sidelines.  /,statement
Go ahead.  /,request
Get some books of whether it be Pennsylvania or Virginia --,request
"F Um,   [ on a, +  if you're doing it on a ] regular basis, how often do you go? /",question
"F Oh,  okay. /",general
C but  --,question
"C and  you ought to, D well,   as your daughters approach the college age, F uh,  start finding out about the scholarship monies because there is a lot of money out there  /",request
"D Well,  [ what, +  F uh,  what ] things do you consider when you buy a car? /",question
Uh-huh. /,general
"C but  I like to [ co-, + F uh,  cook ]  with my kids. /",statement
"[ the, + the  ] prep school they go to before they can play --",statement
F Um.   Yeah.  /,general
"In [ building, + which building?  ] /",question
"F Uh,  watch out. /",request
"That's common sense,  /",statement
make sure it's nice and brown on both sides  /,request
Probably going to throw them in your trash <laughter>. /,statement
"Yeah,  /",general
really. /,general
"[ What are, +  what does ] your city have for gun control if anything? /",question
Yeah. /,general
Yeah. /,general
"<Laughter>  [ I went, +",statement
