text,label
d well it s nice to utter to you,general
f oh d well d well encourage her to try other things,request
i ve enjoy it laughter,general
c so you just flip through there until you find a smack eighty eighty eight computer breathing,statement
f oh d well laughter yeah,general
it s like your name must be on a list or something because i know at my office i get calls e i mean i must get at least i probably average at least a call a day,statement
how many,question
you receive got to motor careful,request
i ve mystify another line calling,general
f um does does he ever f uh refinish furniture or anything like that,question
exempt or,question
f oh laughter okay,general
very faint okay,general
i m from maryland noise,general
c but what about f um their reputation of the company or the price,question
f um then then merely laugh,request
good luck in everything,general
you pauperization metal instead of plastic,request
d well f uh yea,general
blow and f uh good bye,general
i really wanted a stepper,statement
d well good luck with the the new kid,general
insurance cases and things like that,statement
so which to me is wonderful because it means that people who never would get to see this f um so get to see it,statement
this is lois,general
you d have to say that,statement
respiration nobelium,general
f oh wha what else can i tell you about painting,question
c so f uh c and if you don t have the money then use a credit card,request
c so what s it going to cost us in the long run there in saudi,question
it s just that if you re ever ever really want to just be scared out of your wits,statement
just get it out viosterol you bonk,request
that would be good because we have two trash pick ups a week,statement
c and we just kind of go and hang out and just do fun stuff,statement
i don t know how americans are about handguns,statement
c so f uh how long have you been biking,question
d good tell me what s in your garden this year since i don t cause one,request
just just the aluminum pop cans,statement
mix up a minuscule f uh mayonnaise with some dijon mustard,request
d well i i need to go ahead and and enclose it up,general
f uh have you ever had a retriever before,question
i haven t watched f um,statement
d swell go ahead,request
and i still enjoy the marching band,statement
farming,question
laughter you know what i am saying,question
clicking music d well kathleen do you believe that there is a problem with our public school system,question
c and one of the f uh,statement
see astatine the news tonight,request
good luck to you,general
c and what do they say about finding adequate child care,question
they don t have oil or anything,statement
c and then you accept tenner percent of it,request
d well c but in general i think it s a good idea because,statement
d well if you took half the money that they would spend in the state of texas for health insurance and gave it to qualified students to so they could become doctors the problem would go away,statement
okay d well thanks,general
middlekauff wouldn t,question
d well it was a combination of things,statement
c and her daughter came and visited her,statement
f um d you know there s real no no real dress code where i work,statement
what doh you cerebrate that what doh you cerebrate tell me what you cerebrate about this,request
let s see what else do you do to your house,question
d well thank you very practically,general
have you ever served as a juror,question
i kind of know what you mean,statement
yea mouth,general
e i beggarly you look you look at the list of marriages that are occurring right ou e i beggarly even in high school,request
c but what are you supposed to do with them,question
d well it s nice talking with you,general
c and now c and i worked in the school system,statement
f um tattle,general
publish initiative,request
c and i don t want them to f uh to cut funding for welfare programs or anything,statement
laughter wouldn t that be something,question
do you have a lot of kosher foods there at your house,question
we ve been talking for five minutes,general
yo you comment along it,request
c so they have the big story,statement
f um f um uh huh,general
did you ever have her in child care,question
uh huh,general
what do i do with it,question
turn onwards,request
what is your most recent,question
why preceptor mt you go first,request
c and fluorine uh you put that in,request
c so we always he watches that,statement
yes very feeble,general
stick along the issue,request
c and i m in garland laughter,general
is she ol your oldest grandd child,question
c but five million dollars and away he goes because insurance pays for it d you know,statement
c and c and d you know c and it creeps up on you,statement
it it s probably very much a woman s mo f uh show,statement
f uh that s really about d you know the extent of f uh of the kind of f uh financial score keeping that we re doing,statement
yep farad uh,general
i thought it was so that you give them an education of that particular discipline,statement
i thought d wow quite a statement for them to make,statement
let s exercise i,request
don t dumps laughter d you know where you dump all your,question
make them do civil duty whatever,request
now i don t know if that necessarily has to be part of socialized medicine,statement
holler them,request
c and what s the name of this book again,question
laughter enjoyed talking to you,general
throat clearing yes,general
are you for it,question
beginning prosecuting they,request
d well i would be interested in,statement
d well then i guess i ll let you go so you can go get the door,general
d well most of my camping,statement
d well thanks jean,general
who who did they play,question
does it fit that,question
little rock stars put all them in there,request
c so f uh does your husband ever use f uh a laptop or a notebook,question
c so what s the conditions like in dallas,question
fine so,general
where do you take your cans,question
d so you been down here before,question
c so there ar people throughout the country that find,general
he was in the untouchables,statement
what do you think about that,question
if everybody would do just a little bit it would make a big difference,statement
could you handle along,request
i see f uh throat clearing,general
what is the best advice of mothering that you know laughter,question
f oh do you like l a,question
f uh unemployment runs approximately six percent,statement
skin uh huh,general
is that with regard to work place engineering or just d you know environm the work place environment,question
i i m only twenty five,statement
c and then we get money for that,statement
do you watch do you watch the network d like major network news,question
do you miss that part in your life,question
