text,intent
"I don't know why the don't keep fencing and all that, D you know.  /",statement
"I tell you if I could bring a computer home and do stuff here, I'd get all kinds of stuff done. /",statement
"D Well,  I hope so. /",statement
"D Well,  D you know,  they introduced some gun control back when I was a teenager, I believe, in terms of, F uh,  every gun you [ ha-, + bought ] had to be licensed, I believe. /",statement
Uh-huh. /,general
Uh-huh. /,general
"Yeah,  /",general
"You could just [ kind of + <breathing>,",statement
C and   it's about one by one and a half foot wide and long. /,statement
"I'm not sure how you would ach-, - /",statement
"C and,",statement
"C and   [ we're, + we're ] kind of experimenting right now. /",statement
C so  <laughter>.  Where did you get your recipe for it? /,question
Yeah. /,general
Yeah.  /,general
"[ Two, + D you know,  two ] new pieces [ in the  ref-, +  in the family ] room and new carpet.  /",statement
"Every new car that came out, I wish they would require it in it. /",statement
"I think that's one of the most, F uh,  enjoyable things about being up here.  /",statement
C and  that's one of them. /,statement
have you been down there? /,question
"C So,  F uh,  <lipsmack> F uh,  [ not, + not ]  growing up familiar with here, F uh,  F uh,  when I get a chance I listen to that  Neil  Sperry and do that <laughter>.  -/",statement
C or  people can drop their used news papers and other papers in the bins  /,statement
I think every time they finish one they ought to just have --,statement
"D Well,  it was good talking to you. /",general
Who is it?  /,question
"C so  it's kind of [ a, + a ] <+ typo: that for than +> unfair advantage,",statement
as soon as we got out of the cloud cover. - /,statement
"I think if the President, be him Republican or Democrat, - /",statement
"E I mean,  [[ you + --",statement
"[ I, + I  ] would have to lean toward capital punishment, D you know,  for certain crimes. /",statement
"I worked up there last summer,  /",statement
C and  some he destroys  /,statement
"D well,  I know out in some, - /",statement
Uh-huh.  /,general
"Yeah, /",general
"F Um,  C and  we're given, D you know,  a good bit of flexibility in what we do.  /",statement
there really isn't.  /,statement
Uh-huh. /,general
-- I'm a doctoral student at the University of Central Florida. /,statement
"F Oh,  yeah.   /",general
he's ))  supposed to be able to do that. /,statement
I do kind of live in the downtown area. /,statement
Uh-huh. /,general
Bye-bye. /,general
"C And,  F uh,  [ since, + since ] everyone is going out and  working now, whether it be because of finances or just the economy,",statement
"C and,  F uh,  there's never really any, - /",statement
F oh  he loves life now. /,statement
"And, D you know,",statement
-- C and  I stay up with it.  /,statement
C and  the wind and  everything was incredible. /,statement
Yeah.  /,general
C but  he does not like to be tied outside.   /,statement
"C so,  it will be interesting to see what happens. /",statement
"<Breathing>  Just, F uh,  stays away or runs --",statement
C So  we do not know whether it is living  /,statement
C and  it's actually metal -- /,statement
We went to Oahu and Kauai. /,statement
"F Uh,  sit-ups  /",statement
yeah. /,general
"F Oh,  C and  what does that consist of? /",question
"[ [ that's, + that's ] + the telephone is ] not the only invasion of privacy.  /",statement
"C but  [ we, +  you ] have to think grandchildren,",statement
Right. /,general
"C and  it's just really nice because we can do, D you know,  the things you want to do. /",statement
"if  it doesn't work, we can always come back,  /",statement
"C and  one was my favorite, personality wise -- /",statement
"I'm, F uh,  management level F uh,  facilities,  /",statement
"[ C and  + C but   ] [ I, +  they ] keep score   [ and, + ] between themselves  /",statement
"C and so,  if we're  leaving her, she barks at us, because --",statement
Yeah. /,general
Uh-huh.  /,general
"C and,   it doesn't pollute the air at all.  <laughter>  /",statement
"There again, I'm just kind of a fledgling into this. /",statement
Yeah. /,general
"C But,   F uh,  [ i-, + it ] turns out [ [ that, + F uh,  that, ] + that ] the C N N [ is, + I think, is ] great.",statement
"[ That, + that's ] probably an expensive trial.  F ((Uh)),   /",statement
I decided I was afraid <laughter>. /,statement
"F Uh,  I think it was one night a week --",statement
Yeah.  /,general
Right. /,general
"Yeah,  /",general
Yeah. /,general
Get the computers out  -- /,request
"F Uh,  you can, D you know,  marinate it in any kind of barbecue sauce you like  /",statement
Just to die for exactly. /,statement
"We're doing some here [ in, + in ] Cash Valley, the community here. /",statement
"Yeah,  /",general
Uh-huh. /,general
"C but  there's no coping saw big enough [ to, + for ] a fourteen inch wide watermelon <laughter> that -- -/",statement
"Especially if you get them for a couple of nights  you don't have to watch them all in [ one ni-, + one ] time. /",statement
It seems to me that one of the biggest  differences is the computer revolution. /,statement
"[ [ [ i-, + it ] left the, + it left, ] + he left ] the chips,  /",statement
C But  I'm not sure if I'll get benefit out of both of them.  /,statement
"They do it by lethal injection,  at Huntsville.  /",statement
Yes. /,general
"[ It just, +",statement
C and  they never score.  /,statement
"F Uh,  I guess probably going on twenty years now. /",statement
I guess you could use a hand mixer  /,statement
"Although, sometimes it gets to be excessive. /",statement
"we should eventually send [ someone, + people  ] to Mars but not just because it's glitzy to do so. /",statement
Right.  /,general
Uh-huh. /,general
C or  just forget it. /,statement
"[ [ I, + I,  ] +  I ] wouldn't be opposed to it at all,  /",statement
"F Uh,  how do you feel about it? /",question
"[ C And,  + F uh,  C but,  ]  F uh,  now [ I'm on, +  the shoe's on ] the other foot <breathing>.  /",statement
C so  I'll be able to --,statement
"C And  Louisiana is completely different cause it was based on the, - /",statement
Okay.  /,general
"D Well,  it has been that way for a very,   very long time, though.  /",statement
C but  now I have the  time  /,statement
you're right.  /,statement
"C and  we wrote down everything that we bought <noise> [ when, + ] D you know,   every pay check -- /",statement
"C but,  F uh,  we had a parakeet.",statement
Good to talk to you.  /,general
I have a lot of - /,statement
"Vision more women deliberately raising children either in surrogacy [ or, + or ] as a professional [ nanny, + nanny ] as you put it, F uh.  /",statement
Okay. /,general
"Let me ask you something, can I run a minute and shut my radio off? /",question
"F Oh,  D really,  [ I ne-, + I ] hadn't actually known that. /",statement
Uh-huh. /,general
"C And  while he was there, he caught some kind of  a strange disease. /",statement
"Of course, you just threw it away. /",statement
We had that for three days.  /,statement
"F Oh,  uh-huh. /",general
it goes up into Colorado and down here.  /,statement
Uh-huh. /,general
"[ There's, + there's  ] a lot of, D you know,  last minute, F uh,  <sniffing> things that happen cause a person not to,",statement
Do you think you would be able to do   some more if you had more tools and  different tools? /,question
"[ They, + they ] weigh him several times a year just to make sure he's not, D you know,  completely out of control. /",statement
"<Laughter> C But,   [ I, +  it's taken me ] a long time to  understand that, F uh,  lawyers are concerned with the law and not with justice --",statement
I just have to take my hat off to Peter DeNiro. /,statement
"C and,   it sounds like it's going to be a little bit on the cool side. /",statement
C and  you don't stop to think about it. /,statement
"F Oh,  it is delicious. /",statement
C So  that is a different way.  /,statement
"C And  in the summer [ everyone is + D like,  I think there's ] D like  seven of us still at home,  /",statement
"C and  in the meantime, she and  her husband, F uh,  [  were + [ [ ex-, +  ex-, ] + were  expecting ] ] [ a child, + their own child. ]  /",statement
"Yeah,  /",general
C and  I haven't taken the time or effort  to learn what they are. /,statement
C or  slots is what it's called. /,statement
"[ They've, + they've ] actually taken steps to try to make it better  /",statement
"C and,  I do like reading books like that [ I just, + I ] have a hard time, a lot of the books are real new age oriented like Mother Earth  /",statement
Uh-huh.  /,general
"[ I, + I ] go to Georgia Tech which is, D you know,  primarily an engineering school -- /",statement
"C and  in some cases, the absence of  health care has resulted from market place forces /",statement
"<<Very faint>> Uh-huh,  F huh.    /",general
"C But,   F uh,  D you know,  [ it's, + F uh,  it's ]  almost like we could become too dependent on them. /",statement
Uh-huh. /,general
"See that's why [ I, +  it's ] interesting because [ you have + [ I, + I'm going to say you have ] ] an accent <laughter>. /",statement
"Right,  /",general
Right. /,general
"yeah, /",general
Yes. /,general
Oh. /,general
I don't know why.  /,statement
In five years we're supposed to be at max. /,statement
"F Oh.   F Oh,  D well  that's real nice because I can remember two years ago that in about February the hundred degree weather started in San Antonio and just continued.  /",statement
"C and,   F uh,  [ they do their, + they do ] a lot of original recordings themselves. /",statement
"Yeah,  /",general
"Pittsburgh, Pennsylvania. /",statement
"Family problems, D you know.",statement
"F Uh,  I can begin this, F um,   /",statement
"F Uh,  I'm Ann. /",statement
"D Well,  I think the terrain had a lot to do  with [ the, + the ] success of Desert Storm as opposed to that in Vietnam. /",statement
"F Uh,  I guess our minds are so,  F uh,  F uh,  A what is it?   F Uh,  finite -- /",statement
"C And,   they have, of course, some pretty severe storms, Winter storms, snow and that type of thing. /",statement
"E I mean,  certainly interested in buying a new car  /",statement
"Yeah,  /",general
"Right,  /",general
"they would tell more about the people that were killed, where they were from and  how old they were.  /",statement
I like Philadelphia Eagles. /,statement
"women aren't nearly as frequent,  /",statement
I think you just have to drop in all unexpectedly a lot. /,statement
"C And  I hadn't even thought  about [ [ that, + F uh,  the, ] + the ] other end of that.  /",statement
"Yeah,  /",general
"I think it's still, D you know,  [ I + ] adding up,  /",statement
"F Oh,  yeah. /",general
Right. /,general
"C So,  [ we, +  our ] budgets are realistic  /",statement
Sure. /,general
"C or   would they really, D you know,  make a contribution of some kind. /",question
C but  I did not think it would be good that they all do something like the Peace Corps --,statement
Uh-huh. /,general
"E I mean,  it does,",statement
movies are very expensive.  /,statement
Right. /,general
"C but  he played [ [ the, + F uh,  the, ] + the ] character in it that was [ very, D like,  gross, +  E I mean,  very dirty, ]  /",statement
"I pay [ ex-, + ] F uh,",statement
"[ I, + I ] would much rather [ that, + ] do that,",statement
"C So  then our cruise was actually  extended a day,  /",statement
"we don't do a whole lot of T V watching,  /",statement
Yeah. /,general
"It seems like, it depends on [ what, + what ] group you happen to be in, [ what, + what ] you're going to get and what you're not going to get  /",statement
"F Uh,  I graduated in nineteen eighty-seven. /",statement
"C and  I have a suspicion [ that, + that ] I believe that [ a, +  the ] statehood is a good idea whenever you have a territory the size of Puerto Rico one ought C either  to make it a full-fledged state [ C or,  + C or  ] let it go, one or   the other.  /",statement
"C But,  F uh,  [  it's, + it's ]  been quite an adventure.  /",statement
"D You know,   they are the ones [ that set, + that set  ] a lot of the rules  /",statement
"F Um,  C because  we thought they would socialize easier, /",statement
"Yeah,  /",general
"like I said, that was just one period in my life where that was critical. /",statement
"I love to sew,  /",statement
"F Uh,  D well,  I don't have the resources to just go out and buy, buy, buy anyway <lipsmack>  /",statement
"[ [ That, + that,  ] + that's  ] boring for me.  /",statement
Yeah  /,general
"C and  I hope to read with my kids,  /",statement
"C and  that's terrible to look at it that   way,  /",statement
D Well  --,statement
"I hate them <laughter>  because they're hard to jockey around, D you know,   /",statement
"C but [I, + I] could give it up without too much trouble,  /",statement
"I do not think they are going to because they do no think [ that their, + that anybody ] listens to their vote.  /",statement
"[ I don't, + I don't ] think they should be forced,  /",statement
Yeah. /,general
C and  how old are you? /,question
Yeah. /,general
Uh-huh.  /,general
F Huh.  D Well  I'm a old-timer.  /,statement
"[ I'm, +   [ I, + I ] ] vote religiously,  /",statement
Uh-huh. /,general
Uh-huh. /,general
C so  --,statement
"His mother's side decided they were going to have a reunion a couple of years ago,  /",statement
Uh-huh. /,general
"[ C and,  + C and  ] it would be, F uh,  D you know,  out of the question. /",statement
One hopes. /,statement
C and  that really surprised me. /,statement
