text,intent
"<breathing> you ought to, because [ [ the, + the, ] + the ] farmer's market recycles absolutely everything. /",statement
"F Oh,  C so  it kind of browns  /",statement
"She does have to really work at it,  /",statement
"My name's Ken, /",general
"D Well  I had heard that one of the comments  [ when they, + when they ] brought it,  -/",statement
"C and  they have a little display screen that shows you a message and  either tells you a person or [ a, +  a ] phone number to respond to  /",statement
"[ They, + E I mean,  their ] city hall looked better,  /",statement
"C And,",statement
"C But  we too do the same thing as far as, F uh,  - /",statement
C and  we went down to D like  a hunting ground and a lake --,statement
Yeah.  /,general
"C because  [ I guess, + I guess  ] I feel like if they're on a diet like that, I'm going to,  D you know,  honor that,  /",statement
C and  we travel a lot  /,statement
Italian is fine.  /,statement
"I think it was by her, now + that you mention it, because someone had given it to me,  /",statement
"C And  we were saying that [ the basic, + F uh,  [ the, + the basic ] ] family [ is, + is ] disrupted these days, /",statement
"[ C And,  +  F uh,  C and,  ]  F uh,  M C I -s coming [ if, +  if, ] telemarketing is your bag. /",statement
"I think they'd come  here trying to find a new market for [ their, + their ] brand of crime. /",statement
"C and  there's, F um,  EQUAL JUSTICE, some other one, LAW AND ORDER or something.  /",statement
"committing them mostly is, D you know,  either crimes of passion or at the moment  /",statement
C and  I've seen how their school system works  /,statement
that's what they do here sometimes.  /,statement
"D Well,  actually, F uh,  [ I've, + I've ]  had a couple of different situations.  /",statement
"F Uh,  State of Minnesota. /",statement
"C So,   I've just recently had to start looking at it myself. /",statement
"C and,",statement
"E I mean,  D like,  D you know,  D like  I said I think last year was the first time in like eighteen years for Pennsylvania.  /",statement
Uh-huh. /,general
"C but,  F uh,  it, F uh,  definitely responds [ to, + F uh,  to ] authority  /",statement
Yeah. /,general
"Yeah,  /",general
"I think that, F uh,  [ if your, + if your ] kid's not ambitious, he can sure get lost. /",statement
Right. /,general
"C But,  F uh,  D you know,  find out when they are holding <<pause>> the petroleum fair, F uh,  /",request
<Beep>. D So  where was your last vacation?  <laughter>. /,question
"Uh-huh,  /",general
[ I -- +,statement
I've never tried taking a book with me.  /,statement
F Uh.,statement
It looks like our Cowboys are coming back  /,statement
"C so  start, D you know,  from now,  /",statement
I'm not saying that I do either  /,statement
Yeah. /,general
Leave? /,question
Yeah. /,general
"the company I work for furnishes,  /",statement
"E I mean,  that's funny. /",statement
Yeah. /,general
yeah. /,general
"C but  [ it, + it's ] a very good company.   That  --",statement
"F Uh,    /",general
"[ H-, + how ] about yourself,  /",question
"[ Have  you, +  have you  ] received many? /",question
"Unfortunately, we can't find a place that will take everything. /",statement
Uh-huh. /,general
"C so  [ they, + they ] don't come out, turn out to vote  /",statement
I just found out I'm going to Denver Sunday night again. /,statement
Sure. /,general
"C and  [ I, + I  ] worked in the same lab with a guy  /",statement
Yeah. /,general
"D Well,  D you know,  I had [ a car, + F uh,  F uh,  a tire ] come off of a car,  /",statement
"C And,   F uh,  D well  I fell in love  with this,  F uh,  it's a Chinchilla Persian,",statement
Uh-huh. /,general
"C So,  is that quality time? /",question
"We just moved [ to a new hou-, +  into a house, ]  /",statement
Yeah. /,general
E I mean  I think we have been D like  ranked in one of the top three for murders in the last  few years. /,statement
"[ Where, + where ] do you like to go when you got a baby-sitter? /",question
"My wife the same thing, F uh,  she knows how to  shoot any weapon that we have [ no-, + not ] that I have an arsenal or anything, /",statement
"[ I, + I ] think the judges do have  [ that, + that ] better knowledge of it.  /",statement
"F Oh,  okay.  /",general
I'm in Garland. /,statement
D See  I can remember paying seventy-five  cents for a pattern <laughter>. /,statement
"[ [ What, + what, for instance, ] + what are you, ] -/",question
"I'm over here in Plano, Texas. /",statement
Yeah. /,general
Both.  /,statement
"F Uh,  [ my, + F uh,  my  ] husband works for McDonald Douglas  /",statement
Yeah. /,general
"D See,  D now  I'd never get my wife to be able to follow that.  /",statement
that had good music in it. /,statement
Yeah. /,general
Is that all we need to say? /,question
It's a fun subject.  /,statement
"[ [ [ I, + I ] could see, + I could see ]  that point, + I could see ] how it would be.  /",statement
C And  in full --,statement
He seems so macho I just <ugh> <laughter>. -/,statement
"I was cau-, - /",statement
"F Uh,  I can't remember when the last time I actually went camping was.  /",statement
Yeah. /,general
"what did you think about the coverage D like  over in the, F uh,  Persian Gulf? /",question
"Our oldest grandson, when he was eighteen months old went into [ a, + a ] Montessori,",statement
"E I mean,  [ it, + it's ] easy,  /",statement
Uh-huh.  /,general
Uh-huh. /,general
C and  you have to wrap them up with string. /,statement
I was going to say the same thing. /,statement
"[ I coul-, +  I couldn't ] afford to work there. /",statement
Especially when you have to trouble shoot some things. /,statement
F Uh  yeah /,general
"Yeah,  /",general
"F Uh,   [ I can't think of the, + I can't think of his  ] name now,  /",statement
"C and,   D well,  [ [ it's, + it, ] + it ] seems pretty [ aggre-, + aggressive ] oriented,  /",statement
"D You know,  kind of like, disregard to others,  /",statement
"Most the time they have a pretty good guarantee,  /",statement
C but  that's kind of like an insurance thing.  /,statement
C and  it was high enough up  /,statement
and it can be quite warm in the summertime. /,statement
Uh-huh. /,general
"C And  we have one, of course,  I say, in college driving.  And one going to drive this summer,  /",statement
Yeah.  /,general
Right. /,general
Uh-huh. /,general
Uh-huh. /,general
"C and,  my husband and I have just elected that if that happens, I will go and just pay.  /",statement
"C And,  F uh,  if you're not able to look after yourself, then you have to rely, -/",statement
Ten acres. /,statement
C and  you core it.,request
Huh-uh. /,general
Yeah  /,general
"Boy [ that really, + that really ]  takes someone who is bold to do that. /",statement
"[ it, + it ] is interesting to watch that water rise all of a sudden. /",statement
"Yeah,  /",general
"Probably doing outdoorsie stuff, and [ keeping, + trying to keep ] them away from the T V, I guess <laughter>.  And, McDonald's <laughter>. /",statement
"C And  I have experience  with this, because I work at [ both, +  both ]  as a director of music and also as an associate under a man. /",statement
C but  still it was cheaper in the long run  /,statement
C but  --,statement
I can't think ever her name either. /,statement
"Well I'll have to check,  /",statement
"I think [ in-, + inflammatory ] politicians are, F um,  - /",statement
"F Oh,  /",general
"It just really,  -/",statement
Uh-huh. /,general
C and  it's hard on women.  /,statement
Oh. /,general
Uh-huh.  /,general
Yeah.  /,general
Uh-huh. /,general
"Yeah,  /",general
Uh-huh. /,general
"D Now,  my grandmother just passed away this last year. /",statement
"Uh-huh,  /",general
"F Oh,  I didn't realize that actually.  /",statement
"I think,",statement
"up here you got to wait until,  [ Aug-, +  August, ]  (( until the water warms up )) . /",statement
"I think in general, F uh,  <sigh> punishment in  the United States is a lot weaker than it should be.  /",statement
"the quick growing,  /",statement
"You'd think there  would be enough, F uh,  people who saw the accident other than his wife,",statement
"C and  I've been out of school too long to answer this,  /",statement
"[ [ I, + F uh,  I ] do-,  +  [ I, +  I ] don't ] think the judge should just make the decision alone. /",statement
"In the morning sometime you can tell if it's a good day or a bad day by, F uh,  how far out from downtown, F uh,  you can be on the road and still not see it. /",statement
"C And,   F uh,   it's just so,  /",statement
"Any kind of recent painting you've done, F uh,  yourself?  /",question
"E I mean,  D you know,",statement
Oh. /,general
"C So,  I wish I could.  /",statement
we can have a debate.  /,statement
"C and  [ the, + the ] problem with that is [ [ then, + then, ] + then ] [ people will either, + the rich people will either ] pull their kids out of the public school and put them in private schools or --",statement
"C so,  F uh,   D you know,  [ let's, +  let's ] stick with that original trust, I guess. /",request
"D Well,  F uh,  okay.  /",general
Right. /,general
"C and   it was really good,  /",statement
C And then  we had two baths  /,statement
I will get --,statement
Stay out of the rain. /,general
"A woman was raped in Richardson,  I read in the paper F oh,  about a two weeks ago now.  /",statement
C And  you? /,question
they almost take all emotions out of it when they --,statement
C and  the hose burst.  /,statement
"C but  [ [ they're, + they're, ] + it's ] reminds me too much of an asylum type [ s-, -- +",statement
D Well  I think that's all ready possible. /,statement
"F Oh,  uh-huh. /",general
"one of his favorite things is, F uh,  - /",statement
It has completely died out two times. /,statement
"as far as using them outside that [ I'm not, + I ] don't use them too much  /",statement
"C But,  F uh,  in Dallas, [ we've got, + we've ] just, F uh,  brought in a whole new set of requirements on inspections and things like that for cars, because, F uh,  people just don't use mass transit and stuff in Dallas.  /",statement
Uh-huh.  /,general
Giving a soapbox to stand on <laughter>. /,statement
"C And so  it's almost impossible to, - /",statement
"If [ they, +  D you know,  F uh,  they ] need to, -/",statement
"F Uh,  C and  it's,  F uh,  I guess what  they call a story and a half.  /",statement
"Yeah,  /",general
"D So  [ where are your, + what are the ]  [ places, + D you know,  memorable places ] you've eaten? /",question
"we've, F uh,   just save the fees and buy some of our own equipment.  /",statement
D well  I'm not that great either.  /,statement
I don't have it now.  /,statement
"Oh yeah,  /",general
It's good when you go to Tom Thumb  though  /,statement
Uh-huh. /,general
"E I mean,  [ [ they, + they, ] + they ] think they're getting, - /",statement
Uh-huh. /,general
Uh-huh. /,general
"F Oh,  yeah. /",general
How much longer do you have? /,question
"D You know,   /",question
"C and    we've got to reduce the number of weapons that are out [ [ in the, + in the ] + --",statement
"That's pretty interesting [ because just, +",statement
Yeah.  /,general
"C But,  E I mean,  [ is not that, +",question
C and  one of them was metric. /,statement
I was born in Saudi Arabia  /,statement
Uh-huh.   /,general
Uh-huh.  /,general
Yeah. /,general
"C But  other than that, I do not like him glued to the T V all the time. /",statement
C so  now I do not have a club  /,statement
Yeah. /,general
"D Well,  just that.  /",statement
"<Throat_clearing>  Boy, I couldn't do that,  /",statement
"F Uh,  I don't know,",statement
"I think Tracy Rowlett was saying that he, -/",statement
"[ Then, + ] this has been five years ago.  /",statement
Oh. /,general
"[ I, + I  ] wonder about the [ po-, + politics  ] of it all,  /",statement
"F Uh,  PRESUMED INNOCENT? /",question
enjoyed it Bob. /,general
