text,intent
C and then  it's not really that realistic  /,statement
"C and  I know that we have a country that, D you know,  people would give anything to  live in, a lot of people anyway because we have so many wonderful things that  they don't have.  /",statement
"C so,",statement
"C But,  F uh,  just off the top of my head, [ I, + I ] don't think I see much wrong with it.  /",statement
"C and  [ I, + I ] think it would be very difficult to [ find someone, + F uh,  find a panel ] that would [ be, + not have ] seen it [ and, + and ] known of what was going on. /",statement
Very good.  /,general
"Prior to that I was told that she was dead,  /",statement
C and  we're going to brick up the garage to match the house and  things like that  /,statement
"F Um,  yeah  /",general
At least two of them.  /,statement
-- C and  the trees are changing color there. /,statement
C and  they look at the source light  /,statement
C because  it really was good even though it is such a long movie.  /,statement
Uh-huh. /,general
"C And,  D you know,  who's to put  the limit on it?  /",question
"[ [ I, + I ] + [ w-, + we ] ] bought the movie /",statement
"I'm in college,  /",statement
We like those things that way. /,statement
"C and  I know we lived in Chicago for seven years,  /",statement
"we don't have, F uh,  tax on clothes --",question
F Uh.  /,general
"C but  still they cost us money,  F um,  that we didn't feel like we should have had to pay, on a car [ that, + that ] was that new,",statement
"C But,  F uh,  I don't believe they accept you  [ after you, + D you know,  after you're ] married  /",statement
"C so,  [ we're, +  we're ] kind of looking at this from the other aspect of,",statement
[ that's --,statement
"But still, she'll just take them,  /",statement
Huh. /,general
I know  /,statement
"D You know,  the other  thing that worries about it is, kids that are doing such bad crimes so young, D you know,   D like  eleven and twelve and thirteen year olds that just go out and kill --",statement
Uh-huh. /,general
Uh-huh. /,general
"Yeah,  /",general
"I'm going to turn forty this summer,  /",statement
C and  they have a deposit on all their bottles and cans. /,statement
"C But,  F um,  yeah,  /",general
"they just, F um,  make their, F uh,  circle and come back again. /",statement
"Yeah,  /",general
"C and  if they're judged guilty would probably be in a better [ pri-, + position ] to give an appropriate, F uh,  sentencing. /",statement
Uh-huh. /,general
It's not too difficult. /,statement
"C So,  yeah,  /",general
but my daddy keeps talking about it.  /,statement
"I got her for Christmas from my family, [ and, + ] F uh,  back  when we lived in Nebraska.  /",statement
"F Uh,  [ there's, + F uh,  D you know,  they're  ] trying to look at how things effect everything in trying to create, D you know,  an environment where they have an ocean and they have the lakes and then they have the desert part of it   /",statement
"I, F uh,  thought I wanted to be a teacher  /",statement
you mean D like  for working and  stuff? /,question
"F Um,  I know that [ my parents, + my mother ] is trying to let my grandmother stay in her house as long as she can.  F Um,  /",statement
"D well,  I live in a suburb of Dallas -- /",statement
Did you kill --,question
"F Um,  C but  I was  ((   ))  to say on Saturdays there is absolutely nothing  /",statement
Yeah.  /,general
"I got my Mustang this time [ was + ]  by myself, because I got on my own, or whatever,  /",statement
Alright.  /,general
Uh-huh. /,general
C And  they enjoy it. /,statement
"you see it on the news all the time,  /",statement
I actually eat pretty much anything that I want. /,statement
"I take the radio with me when I'm working on my car, the lawn or whatever,  /",statement
Uh-huh. /,general
Right. /,general
