input_intent,input_emotion,history_state,expected_response
statement,anger,start,apology_empathy
request,anger,bot_apologized,escalate_to_human
question,anger,start,technical_solution_with_apology
question,fear,start,security_reassurance
statement,fear,start,urgent_assistance
question,fear,bot_reassured,provide_detailed_policy
statement,disgust,start,apology_quality_assurance
request,disgust,bot_apologized,offer_compensation
statement,sadness,start,empathy_retention_offer
question,sadness,start,empathetic_explanation
statement,surprise,service_completed,thank_and_close
question,surprise,start,check_account_status
general,joy,start,warm_welcome_back
statement,joy,bot_solved_problem,polite_closing
request,joy,start,process_order_enthusiastic
question,neutral,start,provide_information
request,neutral,start,execute_action
general,neutral,start,standard_greeting
general,neutral,bot_provided_info,close_interaction
question,neutral,start,provide_information
statement,anger,bot_provided_info,apology_rephrase
statement,joy,bot_rephrased,happy_closing
